LAT,LON,YEAR,MO,DY,T2M_RANGE,ALLSKY_SFC_SW_DWN
33.42011,-112.04149,2001,3,6,11.96,2.79
33.42011,-112.04149,2001,3,7,5.73,2.66
33.42011,-112.04149,2001,3,8,14.26,4.55
33.42011,-112.04149,2001,3,9,12.11,3.92
33.42011,-112.04149,2001,3,10,7.81,4.14
33.42011,-112.04149,2001,3,11,13.31,3.54
33.42011,-112.04149,2001,3,12,16.23,5.58
33.42011,-112.04149,2001,3,13,17.15,6.3
33.42011,-112.04149,2001,3,14,17.08,6.18
33.42011,-112.04149,2001,3,15,18.23,6.25
33.42011,-112.04149,2001,3,16,16.33,6.04
33.42011,-112.04149,2001,3,17,15.16,6.25
33.42011,-112.04149,2001,3,18,19.45,6.26
33.42011,-112.04149,2001,3,19,20.1,6.38
33.42011,-112.04149,2001,3,20,20.9,6.03
33.42011,-112.04149,2001,3,21,18.96,5.68
33.42011,-112.04149,2001,3,22,18.61,6.49
33.42011,-112.04149,2001,3,23,17.88,6.76
33.42011,-112.04149,2001,3,24,16.48,6.06
33.42011,-112.04149,2001,3,25,17.97,6.83
33.42011,-112.04149,2001,3,26,17.12,6.58
33.42011,-112.04149,2001,3,27,16.85,6.53
33.42011,-112.04149,2001,3,28,18.72,7.01
33.42011,-112.04149,2001,3,29,17.26,6.7
33.42011,-112.04149,2001,3,30,15.81,6.79
33.42011,-112.04149,2001,3,31,18.55,6.25
33.42011,-112.04149,2001,4,1,16.32,6.09
33.42011,-112.04149,2001,4,2,15.16,6.71
33.42011,-112.04149,2001,4,3,13.9,4.41
33.42011,-112.04149,2001,4,4,12.96,6.25
33.42011,-112.04149,2001,4,5,6.28,4.11
33.42011,-112.04149,2001,4,6,11.43,6.61
33.42011,-112.04149,2001,4,7,16.89,6.24
33.42011,-112.04149,2001,4,8,14.21,6.6
33.42011,-112.04149,2001,4,9,15.82,7.17
33.42011,-112.04149,2001,4,10,7.37,5.22
33.42011,-112.04149,2001,4,11,16.06,7.1
33.42011,-112.04149,2001,4,12,16.05,7.3
33.42011,-112.04149,2001,4,13,19.92,6.68
33.42011,-112.04149,2001,4,14,16.82,7.79
33.42011,-112.04149,2001,4,15,20.22,7.27
33.42011,-112.04149,2001,4,16,21.7,7.36
33.42011,-112.04149,2001,4,17,20.34,7.79
33.42011,-112.04149,2001,4,18,18.43,5.84
33.42011,-112.04149,2001,4,19,9.75,4.25
33.42011,-112.04149,2001,4,20,15.57,7.42
33.42011,-112.04149,2001,4,21,13.16,3.92
33.42011,-112.04149,2001,4,22,17.85,7.05
33.42011,-112.04149,2001,4,23,21.19,7.91
33.42011,-112.04149,2001,4,24,22.91,7.88
33.42011,-112.04149,2001,4,25,19.68,7.12
33.42011,-112.04149,2001,4,26,20.17,7.34
33.42011,-112.04149,2001,4,27,19.28,7.15
33.42011,-112.04149,2001,4,28,18.66,7.73
33.42011,-112.04149,2001,4,29,20.33,7.66
33.42011,-112.04149,2001,4,30,17.7,7.17
33.42011,-112.04149,2001,5,1,18.94,7.1
33.42011,-112.04149,2001,5,2,17.39,7.29
33.42011,-112.04149,2001,5,3,13.2,8.07
33.42011,-112.04149,2001,5,4,16.87,7.84
